 Numero_de_identificacion,Ejercicio, Mes, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_vialidad, Pista, Juegos_de_parque, Aparatos_de_ejercicio, Cancha, Bebedores, Botes_de_basura, Cantidad_de_botes, Georreferencia, Nota
4,2021,ABRIL-JUNIO,COLONIA,PLAZA 5 DE FEBRERO,CALLE,MALEAÑOS,SI,SI,SI,SI,SI,SI,8,"25.37407463375987, -100.11648606279435",
6,2021,ABRIL-JUNIO,COLONIA,PLAZA LA CHUMACERO,CALLE,LA CHUMACERO,NO,SI,NO,NO,NO,SI,7,"25.392749137600443, -100.12480541556847",
8,2021,ABRIL-JUNIO,COLONIA,PLAZA OCAMPO,CALLE,LA VILLA,NO,NO,NO,NO,SI,SI,26,"25.424181740934348, -100.15146474317949",
10,2021,ABRIL-JUNIO,COLONIA,PLAZA EL PEDREGAL,CALLE,LOS FIERROS,SI,SI,SI,NO,SI,SI,12,"25.36124100942772, -100.10280812190322",
11,2021,ABRIL-JUNIO,COLONIA,PLAZA GILBERTO SALAZAR,CALLE,SAN PEDRO,SI,SI,SI,SI,SI,SI,14,"25.378052698855196, -100.11421806337307",
13,2021,ABRIL-JUNIO,COLONIA,PLAZA ANTONIO VILLALON,CALLE,COL.ANTONIO VILLALON,NO,SI,NO,NO,NO,NO,0,"25.39945093050739, -100.12333801325119",
16,2021,ABRIL-JUNIO,COLONIA,PLAZA COLIMA,CALLE,LOS FIERROS,SI,NO,NO,NO,NO,SI,12,"25.361242859399105, -100.10280350069655",
17,2021,ABRIL-JUNIO,COLONIA,PLAZA NUEVA 21 DE MARZO,CALLE,LA VILLA,SI,SI,SI,SI,NO,SI,16,"25.424155081033422, -100.15148178014658",
1,2021,ENERO-MARZO,COLONIA,PLAZA HIDALGO,CALLE,LA VILLA,NO,NO,SI,NO,SI,SI,30,"25.426842229361377, -100.1534717315228",
3,2021,ENERO-MARZO,COLONIA,PLAZA OBRERO TEXTIL,CALLE,LAS HADAS,SI,SI,SI,SI,SI,SI,31,"25.405046636538582, -100.13003499440389",
7,2021,ENERO-MARZO,COLONIA,PLAZA LOMAS DEL CERCADO,CALLE,COL.FOVI,SI,SI,SI,SI,SI,SI,13,"25.40711463884197, -100.14579516473636",
8,2021,ENERO-MARZO,COLONIA,PLAZA OCAMPO,CALLE,LA VILLA,NO,NO,NO,NO,SI,SI,26,"25.424181740934348, -100.15146474317949",
1,2021,ABRIL-JUNIO,COLONIA,PLAZA HIDALGO,CALLE,LA VILLA,NO,NO,SI,NO,SI,SI,30,"25.426842229361377, -100.1534717315228",
3,2021,ABRIL-JUNIO,COLONIA,PLAZA OBRERO TEXTIL,CALLE,LAS HADAS,SI,SI,SI,SI,SI,SI,31,"25.405046636538582, -100.13003499440389",
5,2021,ABRIL-JUNIO,COLONIA,PLAZA 5 DE MAYO,CALLE,LA PLAZUELA,NO,NO,NO,SI,NO,SI,31,"25.39643183005908, -100.12953933591388",
9,2021,ABRIL-JUNIO,COLONIA,PLAZA JUAREZ,CALLE,EL CERCADO,NO,NO,NO,NO,NO,SI,11,"25.40520866597037, -100.13413053580786",
12,2021,ABRIL-JUNIO,COLONIA,PLAZA MARIANO ESCOBEDO,CALLE,SAN JAVIER,NO,NO,NO,NO,NO,NO,0,"25.410462777881836, -100.13869018481829",
15,2021,ABRIL-JUNIO,COLONIA,ZITON YERBANIZ,CALLE,ZITON,SI,SI,SI,SI,NO,SI,14,"25.49563470346687, -100.18294678543829",
18,2021,ABRIL-JUNIO,COLONIA,PLAZA 4 CAMINOS,CALLE,LOS RODRIGUEZ,SI,SI,SI,NO,SI,SI,48,"25.477574216379796, -100.17736814759026",
4,2021,ENERO-MARZO,COLONIA,PLAZA 5 DE FEBRERO,CALLE,MALEAÑOS,SI,SI,SI,SI,SI,SI,8,"25.37407463375987, -100.11648606279435",
5,2021,ENERO-MARZO,COLONIA,PLAZA 5 DE MAYO,CALLE,LA PLAZUELA,NO,NO,NO,SI,NO,SI,31,"25.39643183005908, -100.12953933591388",
13,2021,ENERO-MARZO,COLONIA,PLAZA ANTONIO VILLALON,CALLE,COL.ANTONIO VILLALON,NO,SI,NO,NO,NO,NO,0,"25.39945093050739, -100.12333801325119",
14,2021,ENERO-MARZO,COLONIA,PLAZA COL.SAN JUAN,CALLE,SAN JUAN,SI,SI,SI,SI,SI,SI,5,"25.45054300708926, -100.16460361484128",
16,2021,ENERO-MARZO,COLONIA,PLAZA COLIMA,CALLE,LOS FIERROS,SI,NO,NO,NO,NO,SI,12,"25.361242859399105, -100.10280350069655",
18,2021,ENERO-MARZO,COLONIA,PLAZA 4 CAMINOS,CALLE,LOS RODRIGUEZ,SI,SI,SI,NO,SI,SI,48,"25.477574216379796, -100.17736814759026",
2,2021,ENERO-MARZO,COLONIA,PLAZA 20 NOVIEMBRE,CALLE,LOS CAVAZOS,NO,NO,SI,SI,SI,SI,11,"25.45029001238515, -100.16429939810254",
6,2021,ENERO-MARZO,COLONIA,PLAZA LA CHUMACERO,CALLE,LA CHUMACERO,NO,SI,NO,NO,NO,SI,7,"25.392749137600443, -100.12480541556847",
9,2021,ENERO-MARZO,COLONIA,PLAZA JUAREZ,CALLE,EL CERCADO,NO,NO,NO,NO,NO,SI,11,"25.40520866597037, -100.13413053580786",
10,2021,ENERO-MARZO,COLONIA,PLAZA EL PEDREGAL,CALLE,LOS FIERROS,SI,SI,SI,NO,SI,SI,12,"25.36124100942772, -100.10280812190322",
11,2021,ENERO-MARZO,COLONIA,PLAZA GILBERTO SALAZAR,CALLE,SAN PEDRO,SI,SI,SI,SI,SI,SI,14,"25.378052698855196, -100.11421806337307",
12,2021,ENERO-MARZO,COLONIA,PLAZA MARIANO ESCOBEDO,CALLE,SAN JAVIER,NO,NO,NO,NO,NO,NO,0,"25.410462777881836, -100.13869018481829",
15,2021,ENERO-MARZO,COLONIA,ZITON YERBANIZ,CALLE,ZITON,SI,SI,SI,SI,NO,SI,14,"25.49563470346687, -100.18294678543829",
17,2021,ENERO-MARZO,COLONIA,PLAZA NUEVA 21 DE MARZO,CALLE,LA VILLA,SI,SI,SI,SI,NO,SI,16,"25.424155081033422, -100.15148178014658",
2,2021,ABRIL-JUNIO,COLONIA,PLAZA 20 NOVIEMBRE,CALLE,LOS CAVAZOS,NO,NO,SI,SI,SI,SI,11,"25.45029001238515, -100.16429939810254",
7,2021,ABRIL-JUNIO,COLONIA,PLAZA LOMAS DEL CERCADO,CALLE,COL.FOVI,SI,SI,SI,SI,SI,SI,13,"25.40711463884197, -100.14579516473636",
14,2021,ABRIL-JUNIO,COLONIA,PLAZA COL.SAN JUAN,CALLE,SAN JUAN,SI,SI,SI,SI,SI,SI,5,"25.45054300708926, -100.16460361484128",
2,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA 20 NOVIEMBRE,CALLE,LOS CAVAZOS,NO,NO,SI,SI,SI,SI,11,"25.45029001238515, -100.16429939810254",
4,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA 5 DE FEBRERO,CALLE,MALEAÑOS,SI,SI,SI,SI,SI,SI,8,"25.37407463375987, -100.11648606279435",
7,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA LOMAS DEL CERCADO,CALLE,COL.FOVI,SI,SI,SI,SI,SI,SI,13,"25.40711463884197, -100.14579516473636",
10,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA EL PEDREGAL,CALLE,LOS FIERROS,SI,SI,SI,NO,SI,SI,12,"25.36124100942772, -100.10280812190322",
11,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA GILBERTO SALAZAR,CALLE,SAN PEDRO,SI,SI,SI,SI,SI,SI,14,"25.378052698855196, -100.11421806337307",
12,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA MARIANO ESCOBEDO,CALLE,SAN JAVIER,NO,NO,NO,NO,NO,NO,0,"25.410462777881836, -100.13869018481829",
14,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA COL.SAN JUAN,CALLE,SAN JUAN,SI,SI,SI,SI,SI,SI,5,"25.45054300708926, -100.16460361484128",
16,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA COLIMA,CALLE,LOS FIERROS,SI,NO,NO,NO,NO,SI,12,"25.361242859399105, -100.10280350069655",
17,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA NUEVA 21 DE MARZO,CALLE,LA VILLA,SI,SI,SI,SI,NO,SI,16,"25.424155081033422, -100.15148178014658",
6,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA LA CHUMACERO,CALLE,LA CHUMACERO,NO,SI,NO,NO,NO,SI,7,"25.392749137600443, -100.12480541556847",
15,2021,JULIO-SEPTIEMBRE,COLONIA,ZITON YERBANIZ,CALLE,ZITON,SI,SI,SI,SI,NO,SI,14,"25.49563470346687, -100.18294678543829",
18,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA 4 CAMINOS,CALLE,LOS RODRIGUEZ,SI,SI,SI,NO,SI,SI,48,"25.477574216379796, -100.17736814759026",
1,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA HIDALGO,CALLE,LA VILLA,NO,NO,SI,NO,SI,SI,30,"25.426842229361377, -100.1534717315228",
7,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA LOMAS DEL CERCADO,CALLE,COL.FOVI,SI,SI,SI,SI,SI,SI,13,"25.40711463884197, -100.14579516473636",
9,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA JUAREZ,CALLE,EL CERCADO,NO,NO,NO,NO,NO,SI,11,"25.40520866597037, -100.13413053580786",
11,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA GILBERTO SALAZAR,CALLE,SAN PEDRO,SI,SI,SI,SI,SI,SI,14,"25.378052698855196, -100.11421806337307",
13,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA ANTONIO VILLALON,CALLE,COL.ANTONIO VILLALON,NO,SI,NO,NO,NO,NO,0,"25.39945093050739, -100.12333801325119",
14,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA COL.SAN JUAN,CALLE,SAN JUAN,SI,SI,SI,SI,SI,SI,5,"25.45054300708926, -100.16460361484128",
17,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA NUEVA 21 DE MARZO,CALLE,LA VILLA,SI,SI,SI,SI,NO,SI,16,"25.424155081033422, -100.15148178014658",
13,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA ANTONIO VILLALON,CALLE,COL.ANTONIO VILLALON,NO,SI,NO,NO,NO,NO,0,"25.39945093050739, -100.12333801325119",
15,2021,OCTUBRE-DICIEMBRE,COLONIA,ZITON YERBANIZ,CALLE,ZITON,SI,SI,SI,SI,NO,SI,14,"25.49563470346687, -100.18294678543829",
2,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA 20 NOVIEMBRE,CALLE,LOS CAVAZOS,NO,NO,SI,SI,SI,SI,11,"25.45029001238515, -100.16429939810254",
3,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA OBRERO TEXTIL,CALLE,LAS HADAS,SI,SI,SI,SI,SI,SI,31,"25.405046636538582, -100.13003499440389",
4,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA 5 DE FEBRERO,CALLE,MALEAÑOS,SI,SI,SI,SI,SI,SI,8,"25.37407463375987, -100.11648606279435",
5,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA 5 DE MAYO,CALLE,LA PLAZUELA,NO,NO,NO,SI,NO,SI,31,"25.39643183005908, -100.12953933591388",
8,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA OCAMPO,CALLE,LA VILLA,NO,NO,NO,NO,SI,SI,26,"25.424181740934348, -100.15146474317949",
10,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA EL PEDREGAL,CALLE,LOS FIERROS,SI,SI,SI,NO,SI,SI,12,"25.36124100942772, -100.10280812190322",
12,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA MARIANO ESCOBEDO,CALLE,SAN JAVIER,NO,NO,NO,NO,NO,NO,0,"25.410462777881836, -100.13869018481829",
16,2021,JULIO-SEPTIEMBRE,COLONIA,PLAZA COLIMA,CALLE,LOS FIERROS,SI,NO,NO,NO,NO,SI,12,"25.361242859399105, -100.10280350069655",
1,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA HIDALGO,CALLE,LA VILLA,NO,NO,SI,NO,SI,SI,30,"25.426842229361377, -100.1534717315228",
3,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA OBRERO TEXTIL,CALLE,LAS HADAS,SI,SI,SI,SI,SI,SI,31,"25.405046636538582, -100.13003499440389",
5,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA 5 DE MAYO,CALLE,LA PLAZUELA,NO,NO,NO,SI,NO,SI,31,"25.39643183005908, -100.12953933591388",
6,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA LA CHUMACERO,CALLE,LA CHUMACERO,NO,SI,NO,NO,NO,SI,7,"25.392749137600443, -100.12480541556847",
8,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA OCAMPO,CALLE,LA VILLA,NO,NO,NO,NO,SI,SI,26,"25.424181740934348, -100.15146474317949",
9,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA JUAREZ,CALLE,EL CERCADO,NO,NO,NO,NO,NO,SI,11,"25.40520866597037, -100.13413053580786",
18,2021,OCTUBRE-DICIEMBRE,COLONIA,PLAZA 4 CAMINOS,CALLE,LOS RODRIGUEZ,SI,SI,SI,NO,SI,SI,48,"25.477574216379796, -100.17736814759026",
5,2022,ENERO-MARZO,COLONIA,PLAZA 5 DE MAYO,CALLE,LA PLAZUELA,NO,NO,NO,SI,NO,SI,31,"25.39643183005908, -100.12953933591388",
12,2022,ENERO-MARZO,COLONIA,PLAZA MARIANO ESCOBEDO,CALLE,SAN JAVIER,NO,NO,NO,NO,NO,NO,0,"25.410462777881836, -100.13869018481829",
14,2022,ENERO-MARZO,COLONIA,PLAZA COL.SAN JUAN,CALLE,SAN JUAN,SI,SI,SI,SI,SI,SI,5,"25.45054300708926, -100.16460361484128",
18,2022,ENERO-MARZO,COLONIA,PLAZA 4 CAMINOS,CALLE,LOS RODRIGUEZ,SI,SI,SI,NO,SI,SI,48,"25.477574216379796, -100.17736814759026",
1,2022,ENERO-MARZO,COLONIA,PLAZA HIDALGO,CALLE,LA VILLA,NO,NO,SI,NO,SI,SI,30,"25.426842229361377, -100.1534717315228",
4,2022,ENERO-MARZO,COLONIA,PLAZA 5 DE FEBRERO,CALLE,MALEAÑOS,SI,SI,SI,SI,SI,SI,8,"25.37407463375987, -100.11648606279435",
6,2022,ENERO-MARZO,COLONIA,PLAZA LA CHUMACERO,CALLE,LA CHUMACERO,NO,SI,NO,NO,NO,SI,7,"25.392749137600443, -100.12480541556847",
7,2022,ENERO-MARZO,COLONIA,PLAZA LOMAS DEL CERCADO,CALLE,COL.FOVI,SI,SI,SI,SI,SI,SI,13,"25.40711463884197, -100.14579516473636",
